sku_num,coef,sku_num_obj,sku_brand,Brand_ID
435,0.25339891030897627,435,HCO-HOK-Cork1-YYR_US-3,3
437,0.0,437,AOR-PET-StOd-32_US-9,9
439,0.262143719828044,439,HCO-HOK-Cork1-SRW_US-3,3
442,0.12939084050047467,442,HCO-HOK-Cork1-EW_US-3,3
443,0.24475096192335455,443,HCO-HOK-Cork1-FR_US-3,3
444,0.26382508205747246,444,HCO-HOK-Cork1-SSR_US-3,3
449,0.2486834236402618,449,HCO-HOK-Cork1-STER_US-3,3
451,0.0,451,HCO-HOK-Cork1-TER_US-3,3
453,0.0,453,BTL-HHB-PFB-L_US-50,50
454,-0.015117353057370138,454,BTL-HHB-PFB-M_US-50,50
455,0.0,455,90_US-6,6
456,0.23021252139660678,456,BTL-HHB-PFS-L_US-50,50
457,0.2012181400123437,457,BTL-HHB-PF-M_US-50,50
458,0.0,458,BTL-HHB-PF-L_US-50,50
459,0.138047043641985,459,HCO-HOK-Cork2_US-3,3
460,0.3832017425401958,460,BTL-HHB-PFB-XL_US-50,50
461,0.5847947291514491,461,BTL-HHB-PFP-L_US-50,50
462,0.2289336747880153,462,BTL-HHB-PF-S_US-50,50
463,0.21318941221884274,463,BTL-HHB-PFS-S_US-50,50
464,0.0,464,BTL-HHB-PFS-M_US-50,50
465,0.23011054254907617,465,BTL-HHB-PF-XL_US-50,50
466,0.0,466,BTL-HHB-PFP-M_US-50,50
467,0.0,467,BTL-HHB-PFB-S_US-50,50
468,0.0,468,BTL-HHB-PFS-XL_US-50,50
470,-0.039490522671230745,470,AOR-PET-StOd2-32_US-9,9
471,0.0,471,HCO-HOK-MoPe-G6_US-3,3
472,-0.06540606917680125,472,AOR-B07N316V8C-01_US-9,9
473,0.0,473,HCO-HOK-Cork1-RPW_US-3,3
